,StartTime,LastTime,Flgs,Seq,Dur,RunTime,IdleTime,Mean,Sum,Min,Max,Proto,SrcAddr,Sport,DstAddr,Dport,SrcPkts,DstPkts,SrcBytes,DstBytes,State,sTos,sDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,Cause,TotPkts,TotBytes,TotAppByte,SAppBytes,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,SrcGap,Rate,SrcRate,DstRate,TcpRtt,SynAck,AckDat,Offset,sMeanPktSz,dMeanPktSz,Device_type,Label
IdleTime,0.458999192,0.458831691,-0.050795497,0.313235531,-0.061929559,-0.061341339,1,-0.061341339,-0.061341339,-0.061341339,-0.061341339,0.057630152,0.075417725,0.06642429,-0.156493844,0.018743673,-0.038967599,-0.034052668,-0.054849778,-0.031729038,0.338718411,-0.050248737,-0.00991551,-0.027363509,0.065384622,-0.043131553,-0.400834168,-0.044017003,-0.153064626,-0.288783931,-0.035763362,-0.038506631,-0.020504719,-0.009145814,-0.019166916,-0.008090825,-0.039841882,0.006734149,-0.003972169,0.003650684,-0.012158004,-0.005733991,0.270480706,-0.016764698,-0.015286772,-0.038896985,-0.035403166,-0.024291281,0.37197876,-0.063970088,-0.069100923,0.140904017,-0.743637114
StartTime,1,0.999997904,-0.054309962,0.108056791,-0.19940836,-0.199251459,0.458999192,-0.199251459,-0.199251459,-0.199251459,-0.199251459,0.12205218,-0.0183864,-0.035106335,-0.135388107,0.019221868,-0.04247125,-0.030618805,-0.024717594,-0.029776324,0.402766591,-0.078212191,0.006868914,-0.084255434,0.030283139,-0.086284454,-0.429235725,-0.020632515,-0.299832802,-0.272829697,-0.035047079,-0.026733468,-0.003639271,0.004532206,-0.02427613,-0.01058482,-0.049341929,0.00997776,9.81E-05,0.009255711,-0.002021984,-0.012181295,0.404528918,-0.022320984,-0.043232604,-0.044900777,-0.036901194,-0.049529706,0.102602382,-0.06181583,-0.112187841,0.337656701,-0.610756726
LastTime,0.999997904,1,-0.054156718,0.108034164,-0.198943661,-0.198786691,0.458831691,-0.198786691,-0.198786691,-0.198786691,-0.198786691,0.121899167,-0.018346663,-0.035067151,-0.135370398,0.019206077,-0.042317292,-0.030502857,-0.024543786,-0.029663559,0.402589169,-0.078186932,0.006969166,-0.084180044,0.030237469,-0.086209872,-0.429016522,-0.020611816,-0.299639664,-0.272626142,-0.034916887,-0.026640704,-0.003642607,0.00453341,-0.024274847,-0.010604488,-0.049272124,0.010010229,0.000148561,0.009282106,-0.001990779,-0.012203205,0.404330094,-0.02233505,-0.043245297,-0.044895741,-0.036896105,-0.049529296,0.102581355,-0.061672243,-0.112012846,0.337631248,-0.610560423
State,0.402766591,0.402589169,-0.019864653,0.207616355,-0.157151408,-0.159102706,0.338718411,-0.159102706,-0.159102706,-0.159102706,-0.159102706,0.111601293,0.149930997,-0.119900221,0.055562897,-0.258009429,-0.071338736,-0.059321827,-0.124170682,-0.059958175,1,0.100974072,0.041185847,-0.025795513,0.011241842,0.022465451,-0.50038751,-0.236362901,-0.22278021,-0.220299013,-0.068450326,-0.01136332,0.068852301,0.030710509,-0.025290118,0.003371588,-0.099233324,-0.029298342,-0.025288306,-0.028126524,0.000165844,-0.009895036,0.410928774,0.003546212,-0.041983038,-0.046289671,-0.031733472,-0.08524263,0.199985323,-0.246205601,-0.291426584,0.234585743,-0.509936078
Rate,0.404528918,0.404330094,-0.037944436,-0.09383305,-0.202866797,-0.202381414,0.270480706,-0.202381414,-0.202381414,-0.202381414,-0.202381414,-0.036501889,-0.071882945,0.060616327,-0.311265507,0.057053059,-0.026136069,-0.019095653,-0.056079085,-0.016538949,0.410928774,-0.06331814,0.05068595,-0.063107364,0.009447132,-0.087609694,-0.635430618,0.105076923,-0.459360157,-0.304308623,-0.020794492,-0.023913994,-0.016579482,-0.007395023,0.171683781,0.170078844,0.032635371,-0.016150721,-0.018170697,-0.01567188,-0.01785512,-0.004468498,1,0.237363223,0.195254548,-0.039746813,-0.031145526,-0.052078913,-0.086591048,-0.120004757,-0.109517359,0.48644048,-0.401486128
Seq,0.108056791,0.108034164,-0.022007988,1,-0.107726061,-0.107468412,0.313235531,-0.107468412,-0.107468412,-0.107468412,-0.107468412,0.065530856,0.241178862,-0.095419606,0.023350589,-0.116635941,-0.019804964,-0.016989249,-0.033265633,-0.01508267,0.207616355,-0.03332657,-0.005457415,-0.040587146,-0.015879413,-0.054990755,0.082388618,-0.280018115,0.237906169,-0.192850122,-0.018000559,-0.017882029,-0.008800579,-0.003925363,-0.014705893,-0.007264571,-0.027058087,-0.009013518,-0.010592241,-0.008549218,-0.011046322,-0.002376183,-0.09383305,-0.011452265,-0.016165909,-0.024237243,-0.018831073,-0.03263048,0.861348862,-0.089937533,-0.117325522,-0.326449397,-0.305601274
Offset,0.102602382,0.102581355,-0.020666894,0.861348862,-0.103232563,-0.102994092,0.37197876,-0.102994092,-0.102994092,-0.102994092,-0.102994092,0.063287531,0.221534153,-0.093540098,0.021199616,-0.110693292,-0.019013317,-0.016316536,-0.031991035,-0.014556434,0.199985323,-0.032066428,-0.005478078,-0.038793794,-0.01529769,-0.052544385,0.076423356,-0.267793949,0.224926196,-0.18317244,-0.017343459,-0.016997611,-0.008042894,-0.003136723,-0.014089408,-0.006938828,-0.025994228,-0.007347588,-0.009603528,-0.007015654,-0.010262091,-0.002291417,-0.086591048,-0.010888256,-0.015433883,-0.02317947,-0.018017372,-0.031162342,1,-0.085767537,-0.112271165,-0.307707284,-0.293273124
Device_type,0.337656701,0.337631248,0.012855752,-0.326449397,-0.102297545,-0.102229586,0.140904017,-0.102229586,-0.102229586,-0.102229586,-0.102229586,0.004539039,-0.058949741,0.059108167,-0.301771228,0.112486017,0.030663949,0.0125454,-0.004542258,0.012569585,0.234585743,0.00332368,0.084460101,0.097025652,0.050609089,0.094701515,-0.478396651,0.181933162,-0.43835233,-0.178031459,0.017162306,0.00949266,-0.001149134,0.003252183,0.01291676,0.00406404,0.031462068,0.035805047,0.036062027,0.023552711,0.007027303,0.011728015,0.48644048,0.010452075,0.024738129,-0.003891407,-0.009826165,0.031615889,-0.307707284,0.015045077,0.084893792,1,-0.219957208
Proto,0.12205218,0.121899167,0.025045977,0.065530856,-0.25388017,-0.253387147,0.057630152,-0.253387147,-0.253387147,-0.253387147,-0.253387147,1,-0.022316727,-0.297987404,0.147917601,0.184106444,0.023184996,0.019317554,0.063648381,0.018561677,0.111601293,-0.094330925,-0.472964563,0.025587216,0.013795376,0.0273517,-0.128854531,-0.419643326,-0.328149632,-0.002627543,0.021988893,0.006570343,-0.016733181,-0.007463578,0.026260306,0.016001001,0.038256709,0.010687649,0.012481717,0.010064512,0.012721644,0.00270824,-0.036501889,0.012369154,0.019729045,0.027682293,0.0214428,0.037620122,0.063287531,0.173206988,0.135622564,0.004539039,-0.116820701
SrcAddr,-0.0183864,-0.018346663,0.033005767,0.241178862,-0.042219699,-0.039598858,0.075417725,-0.039598858,-0.039598858,-0.039598858,-0.039598858,-0.022316727,1,-0.170431158,0.202152915,-0.481246501,-0.011642144,-0.01583435,-0.017981277,-0.009309059,0.149930997,0.231482458,-0.093741018,0.270680148,-0.00546203,0.320964374,0.037343824,-0.271624665,0.138985803,-0.084991381,-0.010911903,-0.060605199,-0.091883994,-0.040983441,-0.009563436,-0.0051182,-0.016287556,-0.005065076,-0.006805802,-0.004690424,-0.006326591,-0.00147987,-0.071882945,-0.012332448,-0.008091616,-0.01497458,-0.011588685,-0.020408237,0.221534153,-0.017535742,-0.070291956,-0.058949741,-0.087936109
